Image;Emotion;Trajectory
fear_0695;N;<646.0,1666.0,0.0>,<637.2041,1631.916,18.0>,<629.1848,1598.4501,26.0>,<621.7264,1550.0533,37.0>,<618.0,1493.6489,48.0>,<617.24536,1427.5872,59.0>,<620.25964,1365.6506,70.0>,<630.45593,1300.007,81.0>,<645.0231,1231.9077,93.0>,<664.67346,1181.9457,104.0>,<680.95905,1139.1023,115.0>,<695.0655,1103.6981,126.0>,<709.02734,1073.9453,137.0>,<724.85815,1047.4805,148.0>,<740.60767,1024.2894,159.0>,<755.92224,1005.6714,171.0>,<769.3307,989.9475,182.0>,<780.5876,978.6948,193.0>,<788.16315,969.11584,204.0>,<795.1719,961.8281,215.0>,<800.43134,957.2843,226.0>,<805.45557,954.2722,237.0>,<808.71747,952.2826,249.0>,<810.7196,951.0,260.0>,<810.13214,951.0,271.0>,<810.0,951.0,272.0>,<810.0,951.0,278.0>,
excitement_0203;P;<666.0,1615.0,0.0>,<664.0,1609.0,72.0>,<660.649,1596.596,81.0>,<656.64435,1579.2218,92.0>,<652.663,1556.9781,103.0>,<650.331,1528.9648,114.0>,<647.3353,1497.3657,126.0>,<645.33105,1463.6279,137.0>,<644.3345,1430.686,148.0>,<644.0,1396.9073,159.0>,<644.6397,1362.4854,170.0>,<646.6364,1327.1809,181.0>,<650.2856,1293.7153,192.0>,<655.89014,1262.5493,203.0>,<662.42206,1234.5227,214.0>,<672.0797,1208.6086,226.0>,<681.96,1184.8959,237.0>,<690.41675,1161.3539,248.0>,<697.7295,1141.235,259.0>,<704.81177,1124.7726,270.0>,<710.77124,1111.4575,281.0>,<717.7286,1099.5428,292.0>,<723.7132,1088.5736,303.0>,<728.6872,1076.6256,314.0>,<736.1657,1066.8344,326.0>,<743.1778,1057.8223,337.0>,<749.64453,1050.8074,348.0>,<755.6321,1044.912,359.0>,<759.0,1041.0,367.0>,<759.0,1041.0,373.0>,
amusement_0491;P;<664.0,1590.0,0.0>,<651.0,1558.0,33.0>,<641.82043,1523.0988,45.0>,<632.41516,1483.4911,56.0>,<627.59045,1449.7239,67.0>,<629.3838,1422.5461,78.0>,<633.3756,1384.3073,89.0>,<639.7191,1342.365,101.0>,<655.4307,1294.112,112.0>,<668.03217,1246.5435,123.0>,<681.98663,1205.04,134.0>,<695.9813,1172.7102,145.0>,<708.507,1142.9176,156.0>,<725.0,1133.0,164.0>,<725.0,1133.0,169.0>,
anger_0809;N;<595.0,1642.0,0.0>,<587.0,1612.0,41.0>,<579.7673,1573.2201,47.0>,<570.2095,1506.2804,58.0>,<567.31305,1451.5831,70.0>,<570.7204,1380.1965,81.0>,<579.72736,1322.3176,92.0>,<590.65894,1279.6887,103.0>,<604.31445,1246.3711,114.0>,<618.5463,1216.9073,125.0>,<631.5456,1188.9088,136.0>,<643.81903,1161.0889,147.0>,<658.0595,1133.7783,158.0>,<673.3682,1107.8876,170.0>,<687.28864,1082.648,181.0>,<700.63696,1062.5446,192.0>,<713.2383,1044.5508,203.0>,<725.6214,1029.775,214.0>,<737.52625,1018.0615,225.0>,<747.8975,1007.1024,236.0>,<755.7316,997.69116,247.0>,<761.6732,989.76904,258.0>,<767.1419,982.7162,270.0>,<772.07025,976.39465,281.0>,<777.12256,969.87744,292.0>,<782.1203,965.87964,303.0>,<786.65533,963.55176,314.0>,<788.0,964.0,317.0>,<788.0,964.0,322.0>,
excitement_0188;P;<651.0,1593.0,0.0>,<639.0,1558.0,25.0>,<631.98254,1513.0883,48.0>,<631.576,1384.9362,64.0>,<640.1109,1302.1128,75.0>,<658.0175,1242.9475,87.0>,<684.9344,1187.5057,98.0>,<707.9873,1137.691,109.0>,<735.7291,1099.2709,120.0>,<741.0,1094.0,122.0>,<741.0,1094.0,127.0>,
fear_0681;N;<635.0,1672.0,0.0>,<616.0,1641.0,33.0>,<603.27795,1609.2991,45.0>,<595.4085,1581.4368,56.0>,<587.1101,1540.3727,67.0>,<583.31146,1499.7863,78.0>,<582.6815,1453.006,89.0>,<585.679,1418.4573,101.0>,<590.0166,1383.2281,112.0>,<597.6904,1342.5989,123.0>,<606.25134,1308.9456,134.0>,<616.94006,1274.8364,145.0>,<627.1956,1241.1349,156.0>,<636.16296,1208.8785,167.0>,<647.8061,1175.216,178.0>,<662.91907,1142.1619,189.0>,<678.90015,1110.8123,201.0>,<693.93805,1081.9756,212.0>,<708.175,1058.0356,223.0>,<723.28845,1039.0989,234.0>,<737.7301,1025.0437,245.0>,<749.0,1019.0,253.0>,<749.0,1019.0,258.0>,
disgust_0761;N;<654.0,1629.0,0.0>,<648.0,1606.0,42.0>,<642.16376,1575.5643,48.0>,<635.39374,1523.746,59.0>,<633.0,1476.5238,70.0>,<637.79486,1406.1477,82.0>,<648.81824,1336.0388,93.0>,<666.47687,1274.7772,104.0>,<688.79584,1211.7019,115.0>,<710.4385,1152.4182,126.0>,<730.1615,1111.9323,137.0>,<749.78406,1080.3599,148.0>,<766.17694,1054.8817,159.0>,<780.47577,1035.2455,170.0>,<794.4062,1017.96436,182.0>,<807.4083,1002.5917,193.0>,<819.16345,989.83655,204.0>,<830.0999,980.52014,215.0>,<839.47546,973.52454,226.0>,<849.0453,966.5637,237.0>,<858.0662,960.77356,248.0>,<860.0,960.0,250.0>,<860.0,960.0,256.0>,
awe_0858;P;<661.0,1598.0,0.0>,<658.0,1585.0,67.0>,<650.36774,1552.8386,79.0>,<642.90106,1508.6078,90.0>,<641.0,1463.4446,101.0>,<640.33484,1414.0361,112.0>,<643.22046,1373.016,123.0>,<647.30286,1336.2745,134.0>,<655.084,1300.9148,146.0>,<662.26355,1271.155,157.0>,<669.80145,1245.2765,168.0>,<679.50195,1222.1198,179.0>,<685.6487,1201.5044,190.0>,<691.82745,1179.2994,201.0>,<698.5917,1159.6943,212.0>,<705.19836,1139.6072,223.0>,<711.0791,1121.6835,234.0>,<716.74884,1106.9193,246.0>,<722.56885,1096.9082,257.0>,<726.57355,1088.2793,268.0>,<731.0237,1082.9763,279.0>,<735.55865,1079.4413,290.0>,<738.5002,1076.4999,301.0>,<740.5584,1075.0,312.0>,<742.4998,1074.4998,323.0>,<743.0,1075.0,326.0>,<743.0,1075.0,331.0>,
disgust_0801;N;<670.0,1618.0,0.0>,<667.0,1611.0,60.0>,<663.4753,1602.7756,67.0>,<658.96844,1589.9053,78.0>,<654.0776,1568.3878,89.0>,<648.01196,1529.7585,100.0>,<643.6605,1484.5963,111.0>,<641.34375,1440.5619,122.0>,<639.341,1395.8433,133.0>,<639.6527,1350.6399,144.0>,<644.30334,1310.315,155.0>,<652.1981,1271.2075,167.0>,<661.5543,1230.7828,178.0>,<676.09717,1199.4429,189.0>,<688.78485,1168.5378,200.0>,<700.07196,1140.6273,211.0>,<710.6836,1116.6328,222.0>,<721.68164,1094.2504,233.0>,<732.60657,1074.5901,244.0>,<744.0187,1057.1702,255.0>,<753.9592,1041.857,267.0>,<763.3806,1028.834,278.0>,<771.3775,1017.4337,289.0>,<777.7874,1007.021,300.0>,<782.7605,997.6527,311.0>,<787.7483,991.2517,322.0>,<792.7464,985.8357,333.0>,<797.7348,980.8435,344.0>,<802.1795,977.4103,355.0>,<805.0,976.0,363.0>,<805.0,976.0,369.0>,
excitement_0221;P;<678.0,1650.0,0.0>,<676.0,1644.0,78.0>,<667.5455,1615.5636,93.0>,<656.5334,1570.3601,104.0>,<648.2665,1521.2322,115.0>,<642.6628,1469.6162,126.0>,<642.0,1415.8394,137.0>,<644.34314,1363.2253,148.0>,<648.2987,1324.0127,159.0>,<653.64496,1285.0977,170.0>,<664.08527,1257.1007,182.0>,<677.8782,1229.5973,193.0>,<689.12604,1204.8723,204.0>,<697.5312,1178.7737,215.0>,<706.44836,1153.0428,226.0>,<716.1594,1127.4174,237.0>,<728.6648,1105.2811,248.0>,<740.6581,1084.9032,259.0>,<750.97437,1067.241,270.0>,<760.3906,1053.4141,282.0>,<768.3868,1042.0165,293.0>,<774.7883,1032.6156,304.0>,<780.731,1025.692,315.0>,<786.7779,1017.6295,326.0>,<792.16797,1009.66406,337.0>,<797.3609,1004.4098,348.0>,<799.0,1004.0,350.0>,<799.0,1004.0,356.0>,
amusement_0723;P;<653.0,1657.0,0.0>,<653.0,1649.0,69.0>,<651.3416,1620.8319,78.0>,<648.3151,1567.8229,89.0>,<646.30817,1508.2445,100.0>,<646.6857,1445.0563,111.0>,<653.0836,1376.179,123.0>,<665.0839,1308.3962,134.0>,<679.0641,1261.421,145.0>,<692.0718,1218.7487,156.0>,<704.0751,1179.0957,167.0>,<718.3808,1146.911,178.0>,<734.40283,1117.545,189.0>,<748.7386,1091.1997,201.0>,<760.9886,1068.3524,212.0>,<772.98376,1049.6882,223.0>,<784.01337,1034.3177,234.0>,<794.3375,1022.6625,245.0>,<805.08606,1013.276,256.0>,<814.4197,1006.2643,267.0>,<822.7056,998.9708,279.0>,<829.0781,991.9219,290.0>,<834.0387,984.9613,301.0>,<840.0986,978.90137,312.0>,<845.38666,974.6133,323.0>,<851.15375,974.4358,334.0>,<852.0,975.0,336.0>,<852.0,975.0,341.0>,
fear_0924;N;<642.0,1655.0,0.0>,<639.0,1648.0,61.0>,<635.4106,1637.2317,67.0>,<629.9072,1618.5363,79.0>,<621.5389,1575.6945,90.0>,<614.99445,1524.6185,101.0>,<612.0,1471.6893,112.0>,<614.0146,1418.5402,123.0>,<619.3134,1367.5819,134.0>,<625.59393,1330.9757,145.0>,<629.95703,1295.9102,156.0>,<636.57007,1263.0773,167.0>,<642.8867,1227.9374,179.0>,<650.24994,1201.1251,190.0>,<655.85114,1179.8296,201.0>,<663.038,1161.5315,212.0>,<673.01746,1145.1721,223.0>,<681.97766,1130.2358,234.0>,<690.3603,1115.8695,245.0>,<697.79535,1104.4093,256.0>,<702.1411,1093.5767,267.0>,<706.15717,1082.107,279.0>,<711.15424,1073.6915,290.0>,<716.751,1067.249,301.0>,<722.30273,1062.8486,312.0>,<729.0,1062.0,320.0>,<729.0,1062.0,325.0>,
awe_0867;P;<641.0,1655.0,0.0>,<639.0,1649.0,80.0>,<635.5641,1636.9744,89.0>,<630.9076,1620.7228,101.0>,<628.3307,1601.6373,112.0>,<624.63403,1577.8041,123.0>,<620.6595,1550.9462,134.0>,<617.66864,1519.349,145.0>,<615.33704,1485.0667,156.0>,<613.641,1447.8215,167.0>,<617.30005,1406.3492,178.0>,<621.9221,1366.1082,189.0>,<626.2948,1333.6417,201.0>,<631.25604,1304.2076,212.0>,<636.87775,1277.863,223.0>,<641.8567,1252.5731,234.0>,<648.4693,1227.592,245.0>,<656.4485,1203.6545,256.0>,<667.689,1180.2368,267.0>,<678.6309,1159.3433,278.0>,<688.44183,1139.5059,289.0>,<697.36084,1123.8685,301.0>,<706.0176,1110.9824,312.0>,<708.0,1109.0,314.0>,<708.0,1109.0,319.0>,
excitement_0256;P;<653.0,1669.0,0.0>,<642.0,1637.0,33.0>,<629.94574,1583.9396,48.0>,<622.3158,1535.5262,59.0>,<617.94055,1499.8376,70.0>,<616.71075,1444.8092,81.0>,<619.402,1399.8771,93.0>,<624.0781,1355.7603,104.0>,<631.61804,1310.2919,115.0>,<642.3463,1264.284,126.0>,<653.8982,1225.6558,137.0>,<667.6359,1190.7415,148.0>,<679.96204,1156.7743,159.0>,<693.5394,1122.3271,170.0>,<708.11053,1087.14,181.0>,<725.6821,1056.1611,193.0>,<742.8892,1030.2773,204.0>,<757.28076,1008.88464,215.0>,<770.206,990.5923,226.0>,<780.9949,975.8071,237.0>,<789.9778,964.6178,248.0>,<799.8806,957.2716,259.0>,<809.26733,950.29956,270.0>,<817.2964,944.8518,281.0>,<824.7662,940.8225,293.0>,<826.0,940.0,295.0>,<826.0,940.0,300.0>,
anger_0819;N;<660.0,1743.0,0.0>,<655.0,1732.0,49.0>,<640.6458,1696.9047,67.0>,<629.1503,1666.4509,78.0>,<616.5239,1620.3148,90.0>,<605.8852,1570.1691,101.0>,<598.6479,1516.7467,112.0>,<597.0,1463.1567,123.0>,<599.66705,1422.6602,134.0>,<605.27893,1388.1958,145.0>,<615.22107,1353.404,156.0>,<624.5767,1316.7606,167.0>,<634.18085,1277.0043,178.0>,<646.4237,1230.833,190.0>,<661.591,1184.3331,201.0>,<680.08356,1142.1383,212.0>,<698.6127,1101.151,223.0>,<715.45013,1067.3109,234.0>,<732.35156,1040.8646,245.0>,<749.1209,1019.11304,256.0>,<763.03735,1000.8091,267.0>,<776.04785,984.3739,278.0>,<789.0527,971.52625,290.0>,<800.5651,961.9479,301.0>,<810.2476,952.7523,312.0>,<816.64294,943.80945,323.0>,<822.61505,934.8467,334.0>,<828.58777,929.41223,345.0>,<833.6225,924.91833,356.0>,<839.57654,921.949,367.0>,<846.5606,918.9596,378.0>,<853.09,915.95496,390.0>,<860.6032,910.8624,401.0>,<868.0947,905.42896,412.0>,<874.6206,900.3794,423.0>,<882.15375,897.0,434.0>,<884.0,897.0,437.0>,<884.0,897.0,442.0>,
awe_0588;P;<643.0,1630.0,0.0>,<632.0,1598.0,41.0>,<626.0078,1578.6266,48.0>,<618.4395,1543.637,59.0>,<614.6029,1512.3302,70.0>,<613.62415,1468.1776,81.0>,<613.0,1425.2356,92.0>,<615.3338,1383.6616,103.0>,<619.0031,1337.643,114.0>,<624.00397,1291.6361,125.0>,<632.8749,1249.7296,137.0>,<643.8068,1209.3107,148.0>,<655.82526,1173.4369,159.0>,<668.4337,1143.1326,170.0>,<680.6915,1117.617,181.0>,<691.0797,1096.4565,192.0>,<699.40295,1079.5934,203.0>,<707.4,1062.2,214.0>,<715.3777,1048.4335,225.0>,<723.8947,1036.5264,237.0>,<734.861,1026.7112,248.0>,<743.8579,1017.1421,259.0>,<752.2703,1006.5945,270.0>,<761.321,996.786,281.0>,<764.0,995.0,284.0>,<764.0,995.0,289.0>,
fear_0667;N;<657.0,1627.0,0.0>,<650.0,1598.0,41.0>,<636.83484,1523.543,56.0>,<630.58234,1465.153,67.0>,<629.0,1420.1932,78.0>,<631.1264,1361.7358,89.0>,<641.24146,1309.4995,100.0>,<658.01807,1252.5764,111.0>,<683.7873,1199.068,122.0>,<703.09814,1155.4486,134.0>,<721.27734,1119.4453,145.0>,<737.3651,1091.9523,156.0>,<748.0,1077.0,163.0>,<748.0,1077.0,169.0>,
anger_0801;N;<662.0,1618.0,0.0>,<652.0,1586.0,32.0>,<636.85913,1540.7404,47.0>,<623.48315,1504.6709,58.0>,<615.5783,1474.8916,70.0>,<610.784,1437.664,81.0>,<609.8435,1408.3263,92.0>,<604.5865,1377.2029,103.0>,<602.2704,1339.4692,114.0>,<598.71906,1294.2478,125.0>,<602.75226,1245.7892,136.0>,<611.20496,1206.0776,147.0>,<618.6631,1169.5758,158.0>,<624.6358,1136.8212,170.0>,<631.085,1108.2238,181.0>,<638.58105,1079.6218,192.0>,<646.09924,1053.7023,203.0>,<652.5202,1031.9326,214.0>,<659.51025,1014.46936,225.0>,<665.5244,999.443,236.0>,<669.94934,987.6267,247.0>,<672.4709,977.6456,258.0>,<674.0,970.55896,270.0>,<675.4673,965.0654,281.0>,<677.0,961.0608,292.0>,<678.45807,956.62573,303.0>,<679.4015,951.79553,314.0>,<680.0,947.32825,325.0>,<680.0,946.0,330.0>,<680.0,946.0,336.0>,
